Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
66521,PG,Marcelo,Huertas,8.5,18,3500,LAL@CHA,LAL,CHA,,
9661,C,Marcin,Gortat,29.3,25,7100,LAC@WAS,WAS,LAC,,
9715,SG,Marco,Belinelli,15.2,30,3500,SAC@GS,SAC,GS,,
63123,SF,Mario,Hezonja,7.5,27,3500,NO@ORL,ORL,NO,,
16026,SG,Markel,Brown,5.5,18,3500,BKN@MIA,BKN,MIA,,
14511,PF,Markieff,Morris,19,22,4500,CLE@PHO,PHO,CLE,O,Suspension
9671,PF,Marreese,Speights,8.9,24,3500,SAC@GS,GS,SAC,,
9685,SF,Martell,Webster,0,0,3500,LAC@WAS,WAS,LAC,O,Hip
9451,PF,Marvin,Williams,22.5,29,4900,LAL@CHA,CHA,LAL,,
9709,C,Matt,Bonner,4.7,12,3500,MIN@SA,SA,MIN,,
20064,PG,Matthew,Dellavedova,19.9,27,4500,CLE@PHO,CLE,PHO,,
9568,SF,Metta,World Peace,11.2,17,3500,LAL@CHA,LAL,CHA,,
16201,PG,Michael,Carter-Williams,26.1,26,6500,MIL@DAL,MIL,DAL,,
9547,SF,Mike,Dunleavy,0,23,4200,TOR@CHI,CHI,TOR,O,Back
16368,SF,Mike,Scott,10.5,26,3800,ATL@IND,ATL,IND,,
17894,PF,Mike,Muscala,8.8,24,3500,ATL@IND,ATL,IND,,
15591,C,Miles,Plumlee,6.3,19,3700,MIL@DAL,MIL,DAL,,
23178,PF,Mirza,Teletovic,14.3,32,3900,CLE@PHO,PHO,CLE,,
9484,PG,Mo,Williams,19.5,23,4400,CLE@PHO,CLE,PHO,,
9526,SG,Monta,Ellis,25.2,29,5800,ATL@IND,IND,ATL,,
58253,PF,Myles,Turner,11.5,8,3500,ATL@IND,IND,ATL,O,Finger
12368,SF,Nemanja,Bjelica,13,25,3500,MIN@SA,MIN,SA,,
9512,PF,Nene,Hilario,16.7,12,4100,LAC@WAS,WAS,LAC,O,Calf
23825,PF,Nerlens,Noel,23.7,26,5800,PHI@UTA,PHI,UTA,,
9737,SG,Nick,Young,11.9,27,3500,LAL@CHA,LAL,CHA,,
