CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203925,Joe Harris,1610612739,CLE,G,24.0,3,3,1.0,1.67,2.0,0.833,0.408,0.425
203493,Reggie Bullock,1610612765,DET,F,24.0,8,8,1.0,1.25,2.0,0.625,0.41,0.215
1626146,Cliff Alexander,1610612757,POR,F,20.0,6,6,1.0,0.83,2.0,0.417,0.491,-0.075
1626246,Boban Marjanovic,1610612759,SAS,C,27.0,8,8,1.0,0.75,2.0,0.375,0.464,-0.089
202353,Tibor Pleiss,1610612762,UTA,C,26.0,1,1,1.0,1.0,2.0,0.5,0.496,0.004
203516,James Ennis,1610612763,MEM,F,25.0,2,2,1.0,1.0,2.0,0.5,0.395,0.105
204025,Tim Frazier,1610612757,POR,G,25.0,7,7,1.0,0.57,1.86,0.308,0.414,-0.106
203492,Ray McCallum,1610612759,SAS,G,24.0,5,5,1.0,0.4,1.8,0.222,0.335,-0.113
202690,Jimmer Fredette,1610612740,NOP,G,26.0,3,3,1.0,1.33,1.67,0.8,0.476,0.324
203950,Jarnell Stokes,1610612748,MIA,F-C,21.0,2,2,1.0,0.5,1.5,0.333,0.361,-0.028
1626148,Anthony Brown,1610612747,LAL,F,23.0,2,2,1.0,0.5,1.5,0.333,0.416,-0.083
201619,Sasha Kaun,1610612739,CLE,C,30.0,5,5,1.0,0.8,1.4,0.571,0.461,0.11
203584,Troy Daniels,1610612766,CHA,G,24.0,5,5,1.0,0.2,1.4,0.143,0.463,-0.321
203921,Cleanthony Early,1610612752,NYK,F,24.0,3,3,1.0,0.0,1.33,0.0,0.372,-0.372
1626153,Delon Wright,1610612761,TOR,G,23.0,2,2,1.0,0.0,1.0,0.0,0.397,-0.397
200779,Steve Novak,1610612760,OKC,F,32.0,1,1,1.0,1.0,1.0,1.0,0.495,0.505
1626175,Jordan Mickey,1610612738,BOS,F,21.0,1,1,1.0,1.0,1.0,1.0,0.422,0.578
203906,Devyn Marble,1610612753,ORL,F,23.0,3,3,1.0,0.33,1.0,0.333,0.392,-0.058
203186,Willie Reed,1610612751,BKN,F-C,25.0,1,1,1.0,0.0,1.0,0.0,0.45,-0.45
203923,James Young,1610612738,BOS,G-F,20.0,2,2,1.0,1.0,1.0,1.0,0.457,0.544
1626245,Cristiano Felicio,1610612741,CHI,F-C,23.0,1,1,1.0,0.0,1.0,0.0,0.143,-0.143
201202,Joel Anthony,1610612765,DET,C,33.0,2,2,1.0,1.0,1.0,1.0,0.752,0.248
